year,Median Weekly DPI,_count,_count_start,_count_end
2022,Median Weekly DPI Left,422.78,80.41,503.19
2022,Average Weekly Expenditure Leftover On Groceries,66.76,13.63,80.41
2022,Cost of Wheat Produce,13.63,0.00,13.63
2021,Median Weekly DPI Left,414.07,69.20,483.27
2021,Average Weekly Expenditure Leftover On Groceries,57.40,11.80,69.20
2021,Cost of Wheat Produce,11.80,0.00,11.80
2020,Median Weekly DPI Left,402.57,63.70,466.27
2020,Average Weekly Expenditure Leftover On Groceries,52.25,11.45,63.70
2020,Cost of Wheat Produce,11.45,0.00,11.45
2019,Median Weekly DPI Left,404.04,61.90,465.94
2019,Average Weekly Expenditure Leftover On Groceries,50.75,11.15,61.90
2019,Cost of Wheat Produce,11.15,0.00,11.15
