Catagory,Dimension 1,Dimension 2
0,1160.142574,-293.9175436
0,1269.122443,15.63018184
0,995.793889,39.15674324
0,-407.1808025,-67.38031982
0,930.3411802,189.3407416
0,-211.591259,-79.87744626
0,821.2108999,-47.14966994
0,-25.08997758,-74.18601461
0,-191.2928344,-42.12648962
0,-238.2928632,-65.38650692
0,304.6878181,-17.72505984
0,424.3611283,-109.2202997
0,634.5143352,167.2054357
0,63.04269063,111.6775757
0,-196.4412095,29.65793425
0,56.00468283,-29.14834858
0,235.8581195,-108.425643
0,447.3927797,-102.1515664
0,1615.093453,-270.3333511
1,-191.6210454,12.25917767
1,-285.0512749,14.5573619
1,-683.5839523,-32.57612602
0,112.5604588,-9.160553988
0,1873.733116,-260.1960553
0,1273.730657,-479.3214187
0,634.8797685,-79.93167625
0,8.591841257,-16.98442054
0,677.7845259,104.824662
0,373.7198815,-135.3347628
0,453.6780888,77.39995468
0,903.981279,-38.91018766
0,-103.6893115,-187.6853243
0,524.9452025,-31.2276266
0,1062.171586,-50.24014888
0,404.3859342,-67.07954492
0,410.0497559,2.864131897
0,-80.65779458,23.36352733
1,-355.8778497,61.53556617
0,-128.9731559,132.606887
0,-170.2457228,-9.054875298
0,-127.9947608,-30.68749823
0,-462.0280077,-52.80258739
0,897.0274271,-15.17205251
0,-34.37520146,-107.6727615
0,-184.7073626,-33.08065885
0,807.5645733,4.271380335
1,-783.8386678,-56.82655599
0,-166.7571835,-40.01468421
1,-362.6995066,-21.21539524
1,-205.1117444,13.94028725
1,-430.0340798,-5.319685089
1,-235.8935303,45.13060521
1,-416.4695068,-2.57068803
0,576.3603079,95.45172422
0,157.4040789,-28.15674752
1,-448.9827192,-16.14120015
0,1342.138565,-231.14827
0,90.99894938,-52.66424873
1,-286.1454359,23.93329824
1,-744.0918348,-54.30082747
1,-616.7297207,-27.73524532
1,-745.600808,-56.16454295
0,64.40838621,-48.46995593
1,-693.9616993,-41.22118759
0,-74.27680463,-137.5430707
0,45.17542968,-11.52265902
1,-672.376704,-44.88246241
1,-490.8795292,-8.460320041
1,-687.2231992,-57.79596751
1,-358.9818729,38.71049115
0,1092.401048,-105.0357593
1,-724.662583,-42.22810515
0,828.5811985,-180.6678687
0,-95.55636165,-25.01734283
1,-327.2155227,-17.59424779
0,379.6023865,-38.20142278
1,-285.2781192,61.34647504
0,811.3900045,-77.4173801
0,946.8658579,120.5741511
1,-299.2501959,7.078303393
1,-436.5039393,-32.45033449
1,-298.3626559,22.67217734
0,2077.405939,173.5183385
0,606.8243266,191.9233704
1,-378.6613859,-18.84099565
0,838.2360335,-15.47440777
0,-64.46308434,31.64126625
0,854.6137988,-25.18453065
1,-360.5001226,-2.828566866
1,-66.79162715,37.83677258
1,-61.94248441,46.67275028
0,-4.737083209,88.70351581
1,-96.55625225,-62.35469643
1,-207.4772122,8.710406584
0,150.7530373,-31.26636052
0,1062.203762,69.8321701
1,-436.3735475,25.75383782
1,-628.7692958,-41.65559212
1,-442.1212495,-16.25739917
0,-53.10555283,17.59638693
0,-15.09702531,-75.33594625
1,-863.1423078,-77.39952057
1,-388.0270393,4.613189884
1,-631.2101937,-35.82481722
1,-575.3755936,-24.89222143
0,-110.4783615,-78.76476106
1,-433.8558747,-21.21052061
1,-387.2585891,13.4995598
0,1716.419222,-36.54873436
1,-445.5942605,-33.17914078
1,-629.9309318,-45.66881436
1,-393.4956179,34.15477393
1,-159.5500901,68.20417402
1,-600.7745424,-11.69161602
1,-732.3505585,-53.75486907
1,-367.7523085,-30.68792326
1,-736.7440057,-33.80955099
0,198.2507214,-87.51014142
0,402.2178698,-93.71470143
0,495.8869007,82.41878561
1,-448.9325473,-23.22263269
0,793.4673048,14.43270228
0,1604.798405,328.66757
1,-123.5245956,58.30163904
1,-266.5533199,42.26306515
1,-167.7471278,23.65573256
0,-70.65063466,-54.09744156
0,815.3241591,72.15386434
1,-90.24696965,78.61442512
0,885.9992731,91.83357476
1,-391.368534,3.833764143
