Date,GRA Purchases,PRGT 1/2/,Totals,,Year,Month,,Day,Date_Final,Total_Billions,,World Bank GDP,Total Credit Outstanding / World GDP
12/31/2021,89474552025,14554823681,1.04E+11,,2021,12,31/2021,31,31/12/2021,104.029,,7.98797E+14,0.000130232
12/31/2020,93408630285,12481816684,1.06E+11,,2020,12,31/2020,31,31/12/2020,105.89,,7.01515E+14,0.000150945
12/31/2019,66945509865,6590835450,73536345315,,2019,12,31/2019,31,31/12/2019,73.53634532,,7.25399E+14,0.000101374
12/31/2018,55395611392,6426181029,61821792421,,2018,12,31/2018,31,31/12/2018,61.82179242,,7.14496E+14,8.65E-05
12/31/2017,39585385873,6522280669,46107666542,,2017,12,31/2017,31,31/12/2017,46.10766654,,6.7313E+14,6.85E-05
12/31/2016,49267630851,6482647937,55750278788,,2016,12,31/2016,31,31/12/2016,55.75027879,,6.28133E+14,8.88E-05
12/31/2015,50757840741,6575911158,57333751899,,2015,12,31/2015,31,31/12/2015,57.3337519,,6.19092E+14,9.26E-05
12/31/2014,69041563463,6292755583,75334319046,,2014,12,31/2014,31,31/12/2014,75.33431905,,6.59692E+14,0.000114196
12/31/2013,83899249061,6174392682,90073641743,,2013,12,31/2013,31,31/12/2013,90.07364174,,6.41543E+14,0.000140402
12/31/2012,90042348252,5766292503,95808640755,,2012,12,31/2012,31,31/12/2012,95.80864076,,6.1933E+14,0.000154697
12/31/2011,87276915790,5308609594,92585525384,,2011,12,31/2011,31,31/12/2011,92.58552538,,6.03463E+14,0.000153424
12/31/2010,55620104510,4819344134,60439448644,,2010,12,31/2010,31,31/12/2010,60.43944864,,5.38645E+14,0.000112206
12/31/2009,37221142436,5079705286,42300847722,,2009,12,31/2009,31,31/12/2009,42.30084772,,4.85119E+14,8.72E-05
12/31/2008,17514964723,3972372030,21487336753,,2008,12,31/2008,31,31/12/2008,21.48733675,,5.11021E+14,4.20E-05
12/31/2007,6036146757,3796945581,9833092338,,2007,12,31/2007,31,31/12/2007,9.833092338,,4.57359E+14,2.15E-05
12/31/2006,9822640239,3844020520,13666660759,,2006,12,31/2006,31,31/12/2006,13.66666076,,3.99115E+14,3.42E-05
12/31/2005,28432143237,6282121668,34714264905,,2005,12,31/2005,31,31/12/2005,34.71426491,,3.63413E+14,9.55E-05
12/31/2004,55373766674,6766029353,62139796027,,2004,12,31/2004,31,31/12/2004,62.13979603,,3.31697E+14,0.000187339
12/31/2003,65032062712,6880893268,71912955980,,2003,12,31/2003,31,31/12/2003,71.91295598,,2.91747E+14,0.000246491
12/31/2002,63601058794,6868671012,70469729806,,2002,12,31/2002,31,31/12/2002,70.46972981,,2.58544E+14,0.000272564
12/31/2001,53477225409,6424578684,59901804093,,2001,12,31/2001,31,31/12/2001,59.90180409,,2.48581E+14,0.000240975
12/31/2000,42990531049,6331595468,49322126517,,2000,12,31/2000,31,31/12/2000,49.32212652,,2.49277E+14,0.000197861
12/31/1999,51061861875,6434274362,57496136237,,1999,12,31/1999,31,31/12/1999,57.49613624,,2.41195E+14,0.00023838
12/31/1998,60451017051,6288825925,66739842976,,1998,12,31/1998,31,31/12/1998,66.73984298,,2.34697E+14,0.000284366
12/31/1997,46559033783,6009867422,52568901205,,1997,12,31/1997,31,31/12/1997,52.56890121,,2.35365E+14,0.000223351
12/31/1996,36127472805,5881609752,42009082557,,1996,12,31/1996,31,31/12/1996,42.00908256,,2.35628E+14,0.000178286
12/31/1995,35929173412,5657438528,41586611940,,1995,12,31/1995,31,31/12/1995,41.58661194,,2.2867E+14,0.000181863
12/31/1994,25611676952,4599768498,30211445450,,1994,12,31/1994,31,31/12/1994,30.21144545,,2.04327E+14,0.000147858
12/31/1993,25196745031,3942792899,29139537930,,1993,12,31/1993,31,31/12/1993,29.13953793,,1.89462E+14,0.000153801
12/31/1992,23967172718,3804463796,27771636514,,1992,12,31/1992,31,31/12/1992,27.77163651,,1.86764E+14,0.000148699
12/31/1991,23378573926,3285717796,26664291722,,1991,12,31/1991,31,31/12/1991,26.66429172,,1.75188E+14,0.000152204
12/31/1990,20731851093,2571911617,23303762710,,1990,12,31/1990,31,31/12/1990,23.30376271,,1.69958E+14,0.000137115
12/31/1989,22315104224,2334886562,24649990786,,1989,12,31/1989,31,31/12/1989,24.64999079,,1.4843E+14,0.000166071
12/31/1988,24750004884,1773964293,26523969177,,1988,12,31/1988,31,31/12/1988,26.52396918,,1.42508E+14,0.000186123
12/31/1987,28751979125,1866342930,30618322055,,1987,12,31/1987,31,31/12/1987,30.61832206,,1.2635E+14,0.000242329
12/31/1986,33334905644,2013169931,35348075575,,1986,12,31/1986,31,31/12/1986,35.34807558,,1.11769E+14,0.00031626
12/31/1985,35194787249,2470247948,37665035197,,1985,12,31/1985,31,31/12/1985,37.6650352,,9.55617E+13,0.000394144
12/31/1984,34936772393,2769874900,37706647293,,1984,12,31/1984,31,31/12/1984,37.70664729,,9.14657E+13,0.000412249
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,,,,
,,,,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,,,,
