Date,Value,,30-day average
03/01/2000,2.475,,2.598306452
04/01/2000,2.4725,,2.604032258
05/01/2000,2.4975,,2.608951613
06/01/2000,2.485,,2.613790323
07/01/2000,2.5175,,2.618225806
10/01/2000,2.535,,2.619193548
11/01/2000,2.5375,,2.620403226
12/01/2000,2.5875,,2.62
13/01/2000,2.635,,2.617774194
14/01/2000,2.65,,2.615548387
18/01/2000,2.645,,2.613854839
19/01/2000,2.66,,2.61183871
20/01/2000,2.65,,2.60933871
21/01/2000,2.6425,,2.607887097
24/01/2000,2.66,,2.606435484
25/01/2000,2.6475,,2.605064516
26/01/2000,2.6,,2.604580645
27/01/2000,2.635,,2.604580645
28/01/2000,2.5975,,2.604580645
31/01/2000,2.5625,,2.608209677
01/02/2000,2.58,,2.612241935
02/02/2000,2.5725,,2.614903226
03/02/2000,2.5375,,2.619741935
04/02/2000,2.57,,2.623774194
07/02/2000,2.5875,,2.624822581
08/02/2000,2.5925,,2.625790323
09/02/2000,2.655,,2.624822581
10/02/2000,2.7175,,2.620709677
11/02/2000,2.695,,2.615145161
14/02/2000,2.6875,,2.608774194
15/02/2000,2.66,,2.603129032
16/02/2000,2.6525,,2.599741935
17/02/2000,2.625,,2.598774194
18/02/2000,2.6475,,2.597241935
22/02/2000,2.6225,,2.59433871
23/02/2000,2.5475,,2.592403226
24/02/2000,2.5725,,2.592080645
25/02/2000,2.525,,2.592483871
28/02/2000,2.5185,,2.592564516
29/02/2000,2.566,,2.592854839
01/03/2000,2.5975,,2.5925
02/03/2000,2.5825,,2.591854839
03/03/2000,2.5825,,2.591048387
06/03/2000,2.605,,2.589435484
07/03/2000,2.5975,,2.586774194
08/03/2000,2.6175,,2.584596774
09/03/2000,2.6325,,2.581129032
10/03/2000,2.6,,2.577096774
13/03/2000,2.635,,2.575419355
14/03/2000,2.71,,2.572193548
15/03/2000,2.6875,,2.565032258
16/03/2000,2.6625,,2.559709677
17/03/2000,2.7225,,2.559225806
20/03/2000,2.6625,,2.557129032
21/03/2000,2.6025,,2.558983871
22/03/2000,2.6175,,2.564225806
23/03/2000,2.5625,,2.567774194
24/03/2000,2.5275,,2.571806452
27/03/2000,2.545,,2.576887097
28/03/2000,2.4975,,2.5835
29/03/2000,2.5125,,2.593903226
30/03/2000,2.555,,2.604548387
31/03/2000,2.6225,,2.613177419
03/04/2000,2.5775,,2.619306452
04/04/2000,2.5575,,2.625516129
05/04/2000,2.5625,,2.630758065
06/04/2000,2.5375,,2.637209677
07/04/2000,2.585,,2.645758065
10/04/2000,2.5275,,2.653096774
11/04/2000,2.5275,,2.661725806
12/04/2000,2.555,,2.670354839
13/04/2000,2.5775,,2.6785
14/04/2000,2.5575,,2.683822581
17/04/2000,2.5325,,2.689951613
18/04/2000,2.5225,,2.695516129
19/04/2000,2.53,,2.701645161
20/04/2000,2.51,,2.70583871
24/04/2000,2.5075,,2.711
25/04/2000,2.548,,2.715354839
26/04/2000,2.535,,2.719129032
27/04/2000,2.488,,2.724370968
28/04/2000,2.5225,,2.72983871
01/05/2000,2.6475,,2.733870968
02/05/2000,2.6575,,2.732741935
03/05/2000,2.72,,2.731774194
